Abogados
documento;nombre;apellido;correoElectronico;tipoAbogado;valor
32989488;iyekpsin;mqaqgom;iyekpsinmqaqgom@estudio.com;civil;37.62
31172338;tboep;bmjok;tboepbmjok@estudio.com;penalista;397231.28
31108757;vetmgt;jjzdbogp;vetmgtjjzdbogp@estudio.com;penalista;43.81
34889610;sbhpi;zteusd;sbhpizteusd@estudio.com;civil;39.1
37297501;aginikjq;thgkviab;aginikjqthgkviab@estudio.com;civil;413339.39
32602538;hcypzv;uvmnhb;hcypzvuvmnhb@estudio.com;penalista;25.15
30228233;mfdkq;gwdxjrcl;mfdkqgwdxjrcl@estudio.com;penalista;30.12
35741284;nzmlbzo;ndpvunxx;nzmlbzondpvunxx@estudio.com;penalista;40.71
36300754;sbycailp;tqfwirx;sbycailptqfwirx@estudio.com;civil;42.98
34485783;lvmpefc;fdyeg;lvmpefcfdyeg@estudio.com;penalista;327345.61
33838327;prykhe;jedwhikf;prykhejedwhikf@estudio.com;civil;34.69
37992059;ccqxydc;ssqdbcw;ccqxydcssqdbcw@estudio.com;civil;26.82
32176608;eijpsrtn;bskly;eijpsrtnbskly@estudio.com;penalista;440793.29
30097481;pbhsmf;djlrrgp;pbhsmfdjlrrgp@estudio.com;civil;390843.9
35672788;tmezyq;qfaedwvo;tmezyqqfaedwvo@estudio.com;civil;31.58
35024246;tzoee;njleolh;tzoeenjleolh@estudio.com;civil;261476.26
34893132;mrohzco;vjajijq;mrohzcovjajijq@estudio.com;penalista;374984.6
37684620;cqgamljc;xejouzm;cqgamljcxejouzm@estudio.com;penalista;39.94
31705135;psdjak;reaftini;psdjakreaftini@estudio.com;civil;31.22
33544146;uduyqd;neyhvhx;uduyqdneyhvhx@estudio.com;civil;44.5
31566115;ajzfmrgs;pommp;ajzfmrgspommp@estudio.com;penalista;32.33
33407415;nlfnllbr;volvys;nlfnllbrvolvys@estudio.com;penalista;39.46
37397861;ewllalm;lqxywo;ewllalmlqxywo@estudio.com;penalista;41.65
31524280;zvccrqx;ztlrfum;zvccrqxztlrfum@estudio.com;civil;43.62
36597725;wvodbblm;dnvezta;wvodbblmdnvezta@estudio.com;civil;31.07
32690470;qjgjhx;lgtmhf;qjgjhxlgtmhf@estudio.com;civil;403938.89
35010890;tmlzk;yeernjl;tmlzkyeernjl@estudio.com;civil;30.68
37199867;nisduckw;mmmob;nisduckwmmmob@estudio.com;civil;418620.0
31858713;zuaievsv;omwkqy;zuaievsvomwkqy@estudio.com;penalista;33.97
35532179;dnedkaf;mxkpc;dnedkafmxkpc@estudio.com;penalista;427555.76
31619926;bmstst;hpuviwya;bmststhpuviwya@estudio.com;penalista;34.62
34636628;asdsguq;jnaigj;asdsguqjnaigj@estudio.com;civil;44.43
35159243;ehzwasfr;zjigq;ehzwasfrzjigq@estudio.com;civil;33.17
33266412;pntmc;edoscupd;pntmcedoscupd@estudio.com;civil;383701.61
36920419;rrhqs;ewmrs;rrhqsewmrs@estudio.com;penalista;35.25
30826961;dydyk;laagycw;dydyklaagycw@estudio.com;civil;427699.6
33742885;xguvtk;lfwuxbpm;xguvtklfwuxbpm@estudio.com;civil;44.91
36531129;jfiozb;jjgtxbnb;jfiozbjjgtxbnb@estudio.com;penalista;37.82
33707482;kqrnfv;wilwoyl;kqrnfvwilwoyl@estudio.com;civil;412680.84
36539045;mdwmhw;skhhl;mdwmhwskhhl@estudio.com;penalista;40.49
31259712;tqjqntyn;gvmlfte;tqjqntyngvmlfte@estudio.com;civil;29.91
31948030;bxevjn;nzgqqhy;bxevjnnzgqqhy@estudio.com;penalista;25.88
34642872;pfvhbvm;ldendp;pfvhbvmldendp@estudio.com;civil;272734.65
33498518;jeqlzx;whxcf;jeqlzxwhxcf@estudio.com;civil;27.75
31346045;smjbshk;lvgriwhr;smjbshklvgriwhr@estudio.com;civil;34.6
34363302;kenojrp;zhzgc;kenojrpzhzgc@estudio.com;penalista;326687.36
34509723;rfsseuew;xckmrh;rfsseuewxckmrh@estudio.com;penalista;278005.67
35110394;rbzjgd;guqyu;rbzjgdguqyu@estudio.com;penalista;32.82
33146224;ftnvrfwd;espdzrh;ftnvrfwdespdzrh@estudio.com;penalista;40.42
30972786;odflur;urknqcv;odflururknqcv@estudio.com;civil;388049.07
36236403;ibsbh;ijxcwm;ibsbhijxcwm@estudio.com;civil;25.21
31654193;mjcum;zocjgbo;mjcumzocjgbo@estudio.com;civil;398547.78
33928188;ubced;eewdpo;ubcedeewdpo@estudio.com;penalista;40.32
37752882;udshy;rfnswgne;udshyrfnswgne@estudio.com;civil;28.07
32416690;zabcagb;olkmkte;zabcagbolkmkte@estudio.com;penalista;328097.59
30983088;omnkeihg;fszou;omnkeihgfszou@estudio.com;penalista;35.18
35639113;hjuaw;pwilgget;hjuawpwilgget@estudio.com;civil;313018.95
31295473;drgtbxbx;hushkfhr;drgtbxbxhushkfhr@estudio.com;civil;42.67
37759924;apqccp;xdwuka;apqccpxdwuka@estudio.com;penalista;392097.67
32511691;peeis;xxzeiveq;peeisxxzeiveq@estudio.com;civil;32.01
Causas
numero;demandante;estado;sentencia;monto;fuero
YN21TXY0O;hdTDWA VXyuXYNhW;2;1;0;2
7OZA3JM18;CmrFQi eOJNicUxk;1;1;0;2
R895QBKLQ;hyjvcP FvArc3J7q;2;1;0;2
G3TQHA19W;dQVftP liXiPBlMn;2;1;0;2
XIN3MUMWU;KFrNne sAWfhJHSk;2;1;0;1
CPIVBIBWH;FzdJRe aod8znfUi;2;1;0;1
44SQSR3YB;kVYJjE AcAOUU4HS;1;1;0;2
5APK5SWZD;RtLmhX QdxwN8zZM;1;1;0;1
TSELEZS1X;xHDPeQ A2ez0knuR;2;1;0;2
M3PYOMPKM;GSjWtO qtBEKpjwf;1;1;0;2
690M7GY8I;VuewKj I9lLFAI4F;1;1;0;2
VWAOB5FFU;ngHMaJ wQaNTywlD;1;1;0;1
QM8P8WJNN;AqLNvH YnuJ8KVuJ;1;1;0;2
HCQ6ZY9UI;WEpYUJ Soue824z5;1;1;0;2
ZN3NWSSCW;UZorgG vkuUzJ930;2;1;0;2
9SN6GIGOV;cklrHn Tq9cCN4E2;2;1;0;1
LSDYPQKJL;PogvYO CvoKH4bY1;1;1;0;1
J41XNSDGS;iHuReN 156e3LCWi;1;1;0;2
ZOG6Z8GBH;MUairS DCo3Im3cX;1;1;0;2
X8T5D203A;GIuSQe tlR0oCG7G;2;1;0;2
JTA3TTAJA;FnfJbB v7m7MuFwu;1;1;0;2
MLH67709H;dCxtHw 8DdhDENdM;1;1;0;1
H37VN2E1P;ZoLWFu NlBl3OZ5S;2;1;0;2
Z2VHUUZA2;UiZmDE RBO8IjZAU;2;1;0;2
GCVUF5Z1M;FbNLuD RZyglq9q0;1;1;0;2
3C9RJNTVD;gBlJmL mQqGbfMbg;2;1;0;1
T8B63B328;PaTPcW yLYDvDga8;2;1;0;2
S2AAKNEVL;QGYjkL RCjz315pW;1;1;0;2
U3S5WQZGE;SjXNjW Dv4VpzmnL;1;1;0;2
MVMTULCPC;kgUOPd YyMIP6jiy;1;1;0;2
H9FZ285OM;QmUvVW qMRYvNk0B;2;1;0;1
8Y5NGOTAT;hnPtws dHpZSXcI9;1;1;0;2
V6J0Z1UZG;WlnINw x1dhEZjUm;2;1;0;2
091Y0HUJ3;ZwtiVd 8XJkCLUqc;2;1;0;1
X8YN81BA5;rxMYMf HX9K8VXBR;1;1;0;1
Z1895PXEG;tgglGt hv4XJWRKs;2;1;0;2
4XXVAD037;cRkfZu xNJzNH1Xt;2;1;0;1
2XOS8L3XL;HkPOVw tLl3y931I;1;1;0;2
56CAG01BX;UIjAdj GicKiU11e;2;1;0;1
UN6JO5SCV;HHHfgh wcnevLYeN;2;1;0;2
JSL171ZIP;FCrelP AiEm3UofW;2;1;0;1
4NX7EKU90;yfQFIT pS78vfvGk;1;1;0;1
G531PJGU2;MENyFj JBOMq6v4b;1;1;0;2
4XQYD2I33;ksOQqW cozmqd7Dz;2;1;0;2
KMQQMVKQB;IWpHAe APFRuUWAu;1;1;0;1
6S6D7667N;ijPMJu bCf9NnHl7;1;1;0;2
ZIP3RDGEY;hlPRGm M6g37lQq3;2;1;0;1
LF31N5HD9;PFktRS ldYTMURVt;2;1;0;1
B7Q0SLQR0;puLupK dcApyhDos;1;1;0;2
VKOEBT4ZS;tjcLha K4yZnu2oG;2;1;0;1
T96CM36UG;FfolZw ovBedvpcx;2;1;0;1
OM5GCSDGG;ZlZQuH ZQl2mUEfp;2;1;0;1
0YAOA7YPH;GnBNfe JedLwIgkM;1;1;0;2
5AH50BQRR;LyqoSD FKqp6zxA6;1;1;0;1
WH188H8SA;wEaaSs EtspVbTlz;2;1;0;1
LJ3YSZ9NM;XvFSIm zGVdWxweI;1;1;0;2
4XWEP6AC5;BonDKp DwfBA05SS;1;1;0;2
