codigo;origen;destino;cliente;matricula;precio_base;nombre;bultos;precio_combustible;tipo_buque;toneladas
Z26R12DI610V;Montevideo;Madrid;lknjs ssummkx;47JPFD7BBXTE;27989.81;ayscjllb aiudykls;133;34599.76;0;0
NFKLM11HV3DA;Buenos Aires;Madrid;ptxwakl iewppoc;INS8PU7WOERR;35938.76;trouif zulqs;25;28807.52;0;0
KCD55YST7DI4;Montevideo;Madrid;bualnr ligdv;1JR59VMIL4MF;66054.27;ugrdaq czuqcsr;0;0;3;19517
N8ZSAOR8RLTS;Cordoba;Londres;bdgze uklbqa;2DRHPGJSZGXQ;67591.01;gvfqwguo nsuwzieq;0;0;3;19318
OR79IKZQ3LR1;Mendoza;Madrid;jwmqwdd ruzixo;4TJAI88PYE5Y;318408.92;irceymr tmpxsiiq;0;0;3;32739
FJIFWI8XM0C8;Mendoza;San Francisco;vxxsxypy smswr;QF5TCHIMP6CT;214142.21;grcdhj ublfj;70;34406.5;0;0
PMT8FHG3O1VD;Buenos Aires;Napoles;kfuiiqn ccxxcoz;HMMAHWLX5BDX;262039.56;hjbhmrc gienvnjt;162;29897.57;0;0
8WT0PU7209WZ;Cordoba;Napoles;xavywd pxhwt;2CIHJG4OMNSU;238668.85;teiak xomxeswt;0;0;2;29731
2KFVKGZBKWP5;Montevideo;Londres;dzufpeax ydrgt;GFA4CCD72PR2;184423.51;odnvrhif ivhppwx;15;30280.97;0;0
ZBP3C6R0JF2A;Mendoza;Londres;xuaxf qvtverrk;R9OXKKFN2ZQA;83303.13;dyghacyr ntdakx;0;0;2;28799
4X0NQ8HF02ZC;Buenos Aires;Madrid;qvpukc nqikv;QAIUIOWL4W2V;149994.84;tyapvixu hubtulae;186;27720.16;0;0
TKSMJO059FZ8;Cordoba;Napoles;agrohm thtvdwu;12ESX3OEIAE4;327868.36;fdrmh nfijl;0;0;2;39699
5MXCV96S2LU9;Mendoza;San Francisco;qsposq weablz;MFLKTDGCHJVY;255670.55;bwgnr zpfhxsgu;119;32027.03;0;0
DQ5K3SC66ARN;Rosario;Napoles;rhxsm oeedrx;NXVW5DIHWX92;126049.11;trdtwqgu pvxpj;61;31600.92;0;0
X7KTXNE06GYL;Mendoza;San Francisco;orfkwf etttsuf;R0L59OX8P55I;119844.45;chhbzpqp fxnccc;0;0;2;35164
W674NX9TNI8G;Cordoba;Napoles;oaxuuk khqftcf;44IDLJQQ0DLM;127249.4;wddsiog ciacf;0;0;3;19917
