factura;importe;tipo;nombre;perfume
25119425:08;38795.89;B;Martin zXOmizux;13
53287656:08;44214.47;A;Carlos CurEsyG;5
21942606:08;129196.82;C;Laura cbEZVQ;5
48252710:08;135472.6;A;Carlos MELDG;11
14686531:08;77742.92;B;Carlos fxozjds;13
17201819:08;69937.32;A;Olga ZIFclYGQ;12
76802137:08;146081.39;D;Irina WJzxnR;7
12236141:08;46853.2;C;Juan cENernhnO;8
58329258:08;54930.02;A;Ines hmmYNy;3
83831605:08;115123.28;D;Olga UJRYn;5
1338822:08;86818.0;C;Irina agUGWnMa;13
8617414:08;25212.26;D;Martin TjKPj;9
13921174:08;60741.28;A;Irina DnwXgvAO;16
99451190:08;57401.38;D;Carlos fiyMeKLj;1
29026783:08;22580.87;C;Olga wobeJizZ;7
96344404:08;21299.46;A;Carlos uvqoVUZW;14
61421498:08;82841.42;B;Juan efOimRDK;2
76114252:08;30597.45;C;Juan Tnkku;9
77696360:08;29578.09;A;Carlos YapOU;6
83598703:08;107153.11;C;Carlos XkXUWITZT;14
74834319:08;148872.09;B;Martin YAqbBTx;9
31877459:08;135016.53;B;Laura QFfux;8
27174033:08;40407.06;B;Laura SJCXwteTv;13
10476898:08;66589.8;D;Sebastian jpKPNeBU;7
72516428:08;16633.09;D;Sebastian imysiebg;9
98383854:08;16301.74;A;Juan AanETqWE;2
41619276:08;22207.7;B;Juan aWaglYZRP;12
39716371:08;80091.13;B;Laura NVADEI;11
57900275:08;133838.28;D;Irina qsdKo;13
55714323:08;94191.17;C;Laura IvEcUj;11
23709762:08;118284.74;D;Ines kPYNjcpU;14
30386484:08;121251.45;B;Olga AOuRnFD;5
13509232:08;40132.94;A;Juan iikoSKUYN;17
76086014:08;80372.98;A;Ines NOErhfYb;12
84716843:08;54204.73;C;Laura mGJoB;16
88642132:08;34854.96;B;Carlos JNefQGlg;6
69923991:08;130043.32;A;Olga hGpePIA;9
98996107:08;108050.75;C;Sebastian rKTFqXWA;2
90184411:08;120223.26;D;Ines sbacyF;5
62110795:08;126728.22;A;Ines JaZzKJuZO;4
58777341:08;90520.19;C;Martin NTpejQzFr;3
62253093:08;107798.99;A;Sebastian mwwJW;6
20802506:08;16137.38;A;Ines iPcJXZ;4
23598613:08;44961.81;C;Carlos KwqasQ;2
47530459:08;53723.67;C;Irina qJArsbF;14
59822146:08;87623.5;A;Martin wtVoPBZIp;13
85765379:08;132879.24;C;Carlos yfwSWQqic;13
3857193:08;137623.62;D;Carlos VLUuTqvm;6
40119397:08;24715.88;C;Olga nKgbZ;13
67904114:08;27945.22;C;Irina AeYMJFc;14
96865832:08;120833.9;C;Ines ehUgTFt;11
93933678:08;89601.22;C;Sebastian jQyEeoHv;1
98291608:08;103430.88;B;Sebastian vkNCujc;3
43080813:08;95448.46;D;Sebastian eRZDcVxp;13
35380212:08;17164.04;D;Laura ujBPA;5
17974395:08;64702.7;D;Olga aCAvZbI;14
20143831:08;114547.78;B;Martin rtOKd;8
91254485:08;128280.08;C;Sebastian rDtYqR;4
24632768:08;127289.79;A;Juan dgWLGkZ;14
78919302:08;108090.83;C;Carlos esuBmnKWH;7
69401535:08;64013.68;A;Martin MLtBztbWZ;15
78966071:08;28852.41;A;Irina BkOGhrnZ;6
15734211:08;84952.8;A;Ines sPhhdjA;1
76292460:08;105755.45;A;Sebastian ieOzyYsRY;4
94967136:08;112314.81;A;Martin EWptJQ;10
59495730:08;90720.11;D;Sebastian gZaeWH;4
43314204:08;94236.25;A;Laura LDlgjSew;16
34204811:08;87855.72;D;Carlos OSYLD;3
28998641:08;122925.28;B;Carlos xzMAZGIc;12
61881151:08;23418.42;B;Laura nNqWySmXk;15
54789678:08;87804.41;B;Olga pjdOrJ;1
29224237:08;41221.33;D;Carlos FcfjHwEm;15
78298376:08;88585.26;B;Carlos JLxhWSN;16
22333273:08;22514.88;C;Sebastian XdPVO;16
65477764:08;127806.01;B;Ines dMYZuIsyK;13
80477188:08;100624.41;C;Carlos ZlVCQBuG;7
97837338:08;19847.49;D;Olga EUCubqS;16
22535196:08;26243.16;D;Ines tpksQX;15
87746710:08;56659.23;C;Irina fVIJRBpJ;4
52391633:08;36641.85;B;Juan JwkyAjD;2
69541822:08;118149.91;D;Irina ZcmZEQ;8
25683892:08;59415.74;A;Ines RfPuzrIn;7
64663871:08;21635.14;C;Laura PVHLmbL;1
50561051:08;43232.52;D;Martin dbramfRH;15
35856270:08;117179.9;D;Martin BCObp;9
69997467:08;20732.2;A;Olga OKdzOC;7
13006989:08;20753.08;A;Martin XXwHHNsAB;15
90328444:08;48012.88;D;Olga QPeKmOL;16
72722253:08;66853.5;B;Irina fpdXH;6
21607820:08;115164.2;D;Sebastian VTFZEpnzS;16
64937830:08;131370.92;D;Olga wspiLhB;1
53335680:08;39371.51;B;Irina jiYMZyDDE;8
78054600:08;99780.03;B;Irina NUBtPDwRF;13
55247289:08;67056.77;D;Laura ryoFIAh;15
24958132:08;20178.1;D;Juan BXauVls;8
4032449:08;42109.58;C;Martin DPSyg;8
66389889:08;146196.16;D;Olga NQklFLD;13
2861211:08;27974.12;A;Carlos KZMZfQT;8
65054670:08;34346.6;D;Sebastian nTNSEgc;5
76828676:08;17400.01;C;Juan GRzsguPLi;16
9885280:08;45673.8;C;Ines lpCkuqsT;7
85207704:08;25737.12;B;Ines UwCGitqp;9
40240396:08;106743.56;B;Juan vvtPXkmLf;9
28948453:08;129372.17;A;Irina SUUynDRQO;15
11011606:08;78730.83;A;Ines uFvMog;16
31720809:08;103282.17;D;Laura zXPtsEurr;2
79451425:08;145013.56;C;Martin ESJyB;12
97953734:08;32270.22;B;Sebastian KZCAa;12
63148171:08;66160.2;C;Sebastian GGrDi;13
79141503:08;85050.28;D;Carlos tyKTULUV;16
41595245:08;102999.68;A;Olga UlxJu;10
11910581:08;37981.41;C;Ines HUHxzkECA;15
83715409:08;66967.97;B;Laura Scwnyjy;17
65916828:08;53184.04;A;Sebastian vLbAr;15
35345131:08;17766.96;D;Olga LGwinPUiP;17
14046263:08;147861.85;D;Martin WrBUORWbc;15
69799021:08;114059.42;B;Martin qYkuA;5
69535021:08;26054.72;C;Martin yGvmUHT;4
89091827:08;124683.72;D;Carlos IhdUGlwu;3
87510587:08;38312.73;C;Juan mpTaFpIoX;16
15574812:08;116410.55;A;Olga OFletldxw;4
