legajo;dni;nombre;telefono;email;calle;codigo_postal;ciudad;provincia
324329;17.264.170;Ruso Tano;+5493456661133;Ruso.Tano@gmeil.com;Manga3395;8130;5 Polaco;Chaco
72283;19.263.819;Juan Oscar;+5493365457203;Juan.Oscar@gmeil.com;Corte5629;6873;2 Juan;Buenos Aires
61722;44.447.789;Olga Turco;+5493566006245;Olga.Turco@gmeil.com;Juan4249;8847;n Ruso;CABA
76615;24.166.806;Olga Juan;+5493496106998;Olga.Juan@gmeil.com;Corro4394;6197;o Tano;Corrientes
369609;29.400.986;Juan Pedro;+5493316430043;Juan.Pedro@gmeil.com;Lavalleja6124;4609;a Laura;Buenos Aires
89807;10.481.936;Tano Oscar;+5493405559784;Tano.Oscar@gmeil.com;San Martin1248;5544;r Tano;San Luis
271385;21.672.478;Oscar Turco;+5493595502651;Oscar.Turco33@gmeil.com;Manga8746;9500;a Olga;CABA
125959;23.306.562;Olga Santiago;+5493586429611;Olga.Santiago@gmeil.com;Corte1387;6238;1 Ruso;Chaco
336668;46.612.185;Turco Oscar;+5493366953741;Turco.Oscar@gmeil.com;Belgrano276;8852;B Tano;Santa Fe
559414;46.425.815;Santiago Tano;+5493516844670;Santiago.Tano@gmeil.com;Corte2913;9029;2 Pedro;Chaco
172581;39.670.726;Piamontes Ruso;+5493416628535;Piamontes.Ruso@gmeil.com;Artigas8186;9357;6 Tano;Cordoba
129922;10.266.777;Tano Pedro;+5493487460088;Tano.Pedro@gmeil.com;Manga6885;9748;M Juan;Santiago del Estero
523363;25.486.682;Ruso Turco;+5493477575218;Ruso.Turco@gmeil.com;Saavedra355;9525;a Tano;Cordoba
453828;45.403.150;Tano Gallego;+5493607335965;Tano.Gallego@gmeil.com;San Martin8868;8232;a Laura;Misiones
147880;16.244.946;Gallego Tano;+5493585069823;Gallego.Tano@gmeil.com;Corro3762;4151;o Ines;Mendoza
568253;28.969.979;Santiago Gallego;+5493578807562;Santiago.Gallego@gmeil.com;Manga2970;6420;a Pedro;Corrientes
514800;32.659.627;Laura Laura;+5493555307339;Laura.Laura@gmeil.com;Saavedra5545;5661;4 Pedro;Santa Fe
48952;21.391.107;Piamontes Ruso;+5493588661870;Piamontes.Ruso1@gmeil.com;Saavedra9813;5961;a Santiago;Misiones
215407;45.588.537;Juan Oscar;+5493477114677;Juan.Oscar1@gmeil.com;Manga1515;7143;a Polaco;Santiago del Estero
174237;48.642.267;Ines Ines;+5493507690821;Ines.Ines@gmeil.com;Velez Sarsfield7819;8718;9 Ruso;Cordoba
36443;15.971.803;Gallego Ines;+5493596774526;Gallego.Ines@gmeil.com;Paso3619;4707;a Tano;Cordoba
298317;45.203.439;Juan Olga;+5493488958106;Juan.Olga@gmeil.com;Belgrano7444;4468;4 Juan;Chaco
72907;14.106.397;Oscar Juan;+5493376720378;Oscar.Juan@gmeil.com;San Martin1603;9458;a Ruso;Buenos Aires
353580;17.567.603;Santiago Pedro;+5493468985568;Santiago.Pedro@gmeil.com;Velez Sarsfield5540;6447;S Juan;Corrientes
461709;29.873.653;Polaco Gallego;+5493406292273;Polaco.Gallego@gmeil.com;Paso1135;4575;1 Turco;Chaco
547616;17.120.770;Gallego Turco;+5493536384814;Gallego.Turco@gmeil.com;Saavedra5923;4539;5 Laura;Chaco
520590;36.197.792;Gallego Laura;+5493396063731;Gallego.Laura@gmeil.com;San Martin7307;9845;0 Laura;Cordoba
564612;30.953.990;Laura Piamontes;+5493417977223;Laura.Piamontes@gmeil.com;Velez Sarsfield5023;7297;V Ines;CABA
427335;32.207.745;Olga Polaco;+5493486120309;Olga.Polaco@gmeil.com;Lavalleja9584;4073;L Tano;Chaco
232614;49.808.231;Piamontes Polaco;+5493515009386;Piamontes.Polaco@gmeil.com;Artigas2669;5883;6 Turco;Buenos Aires
457090;40.669.179;Turco Turco;+5493577548053;Turco.Turco@gmeil.com;Belgrano2308;8590;0 Piamontes;Mendoza
58844;10.770.467;Laura Oscar;+5493458003445;Laura.Oscar@gmeil.com;Saavedra4590;5007;S Turco;Cordoba
469022;16.811.974;Turco Polaco;+5493528010767;Turco.Polaco@gmeil.com;Velez Sarsfield4669;4192;6 Tano;Corrientes
